Date,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
01-01-2018,0,11.2,30.43684211,25.72105263,75.48421053,0.25,9.627777778
02-01-2018,0,11.81052632,31.17368421,24.25789474,75.95263158,0.333333333,8.316666667
03-01-2018,0,11.62631579,31.12105263,27.85263158,75.26315789,0.072222222,8.527777778
04-01-2018,0,11.2,30.3,27.71578947,77.04210526,0.055555556,9.016666667
05-01-2018,0,10.7,29.41052632,25.67368421,73.73684211,0,9.272222222
06-01-2018,0,11.61052632,31.33684211,23.75263158,73.06315789,0.311111111,7.522222222
07-01-2018,0,12.8,31.45789474,24.68947368,70.86842105,0.127777778,7.644444444
08-01-2018,0,12.43157895,29.64473684,31.97894737,77.26842105,0,7.811111111
09-01-2018,0,11.65789474,29.98947368,28.86315789,74.14736842,0.016666667,9.577777778
10-01-2018,0,11.56842105,29.23157895,26.1,70.38947368,0.05,11.64444444
11-01-2018,0,12.93157895,30.46315789,25.38421053,69.99473684,0.027777778,9.577777778
12-01-2018,0,14.08947368,31.93157895,25.2,69.61578947,0.127777778,8.377777778
13-01-2018,0,14.53684211,32.88421053,24.13157895,67.91578947,0,7.716666667
14-01-2018,0,15.13684211,33.11052632,18.61578947,63.52105263,0.255555556,9.611111111
15-01-2018,0,17.62105263,33.85789474,23.82105263,65.38421053,0.011111111,7.311111111
16-01-2018,0,14.29473684,33.48947368,27.83157895,73.53684211,0,8.65
17-01-2018,0,12.84736842,32.3,23.93684211,70.22105263,0.011111111,9.711111111
18-01-2018,0,14.05789474,32.89473684,24.65263158,66.91578947,0.072222222,9.727777778
19-01-2018,0,11.05789474,31.3,22.88421053,64.66842105,0.222222222,12.05
20-01-2018,0,10.3,30.96315789,20.03684211,67.16315789,0.038888889,10.01111111
21-01-2018,0,11.08947368,31.26842105,19.35789474,68.05789474,0.033333333,9.75
22-01-2018,0,11.52105263,31.10526316,22.02631579,71.51052632,0,9.672222222
23-01-2018,0,13.97368421,32.15789474,22.15263158,74.85789474,0,8.277777778
24-01-2018,0,16.55263158,31.96315789,29.34736842,70.08421053,0.027777778,11.85
25-01-2018,0,11.84210526,30.90526316,26.31578947,67.64210526,0.066666667,12.22777778
26-01-2018,0,9.563157895,30.27368421,19.63684211,65.35263158,0,9.822222222
27-01-2018,0,10.06315789,30.9,17.86315789,67.23684211,0.05,10.01111111
28-01-2018,0,11.15263158,31.48947368,16.31052632,60.58947368,0.05,8.266666667
29-01-2018,0,12.42631579,32.5,19.58421053,64.21578947,0,9.977777778
30-01-2018,0,12.38947368,32.18421053,18.91578947,64.62105263,0.05,11.30555556
31-01-2018,0,12.23684211,32.49473684,18.15263158,62.92105263,0.027777778,11.71111111
01-02-2018,0,12.42631579,33.62105263,13.84210526,57.28421053,0,9.6
02-02-2018,0,12.27368421,33.73157895,13.28421053,56.57368421,0.05,11.33888889
03-02-2018,0,12.61052632,34.63684211,12.53157895,61.70526316,0,6.538888889
04-02-2018,0,15.93684211,34.35789474,17.14736842,62.28947368,0.616666667,10.38333333
05-02-2018,0,16.14736842,33.36315789,22.15263158,65.8,0.244444444,13.03888889
06-02-2018,0,15.25789474,33.42105263,25.27894737,71.24210526,0.05,13.11666667
07-02-2018,0,18.28421053,33.51052632,24.67368421,61.84210526,0,8.177777778
08-02-2018,0,15.48421053,30.98421053,31.11052632,71.49473684,0.055555556,10.10555556
09-02-2018,0,17.35789474,34.38421053,21.52105263,59.64736842,0.211111111,11.54444444
10-02-2018,0,16.73157895,33.35789474,22.25263158,58.75263158,0.138888889,13.58333333
11-02-2018,0,18.21052632,30.56842105,28.48947368,69.09473684,0,9.472222222
12-02-2018,2.073684211,19,32.51052632,28.26842105,78.53157895,0.388888889,17.96111111
13-02-2018,13.88421053,18.38947368,31.24736842,41.74210526,90.67894737,0.188888889,17.22777778
14-02-2018,1.068421053,17.28421053,30.91052632,39.86315789,88.51052632,0.455555556,12.07777778
15-02-2018,0,16.11578947,29.3,44.67894737,86.17368421,0.433333333,11.21666667
